"year","month","day","team","opponent","location","teamscore","oppscore","scorediff","predscorediff","GEI"
2017,11,11,"Akron","Cleveland St.","H",67,57,10,12.7,23.89624427
2017,11,10,"Alabama","Memphis","N",82,70,12,7.4,40.04956163
2017,11,11,"Alabama A&M","Ohio","V",53,61,-8,-29.6,1.050304119
2017,11,10,"Alabama St.","Mississippi St.","V",68,96,-28,-29.5,5.545456742
2017,11,10,"Albany (NY)","Iona","H",69,67,2,0.5,43.43689021
2017,11,10,"Alcorn","LSU","V",59,99,-40,-21,11.23661361
2017,11,10,"American","Kansas St.","V",45,83,-38,-28.5,11.55456423
2017,11,10,"Arizona","Northern Ariz.","H",101,67,34,35.7,8.91445634
2017,11,10,"Arizona St.","Idaho St.","H",94,74,20,22.7,10.35371665
2017,11,10,"Ark.-Pine Bluff","Hawaii","V",70,82,-12,-18.6,5.20390064
2017,11,10,"Arkansas","Samford","H",95,56,39,22.8,19.41096501
2017,11,10,"Arkansas St.","Evansville","V",63,77,-14,-3.7,48.49862867
2017,11,10,"Army West Point","Hofstra","V",74,77,-3,-6.6,29.81931002
2017,11,10,"Auburn","Norfolk St.","H",102,74,28,25.3,12.27719662
2017,11,10,"Austin Peay","Vanderbilt","V",54,73,-19,-27.4,11.9687145
2017,11,11,"BYU","Mississippi Val.","H",91,61,30,30.4,4.051612448
2017,11,10,"Ball St.","Dayton","V",77,78,-1,-12.4,31.52770795
2017,11,10,"Baylor","Central Ark.","H",107,66,41,35.2,8.486064272
2017,11,10,"Belmont","Washington","V",82,86,-4,0.2,45.91932029
2017,11,10,"Binghamton","Morgan St.","H",76,59,17,6.4,17.83602763
2017,11,10,"Boston College","Maine","H",85,65,20,20,10.36326919
2017,11,10,"Boston U.","Northeastern","H",59,65,-6,-0.7,35.08825929
2017,11,10,"Bowling Green","Drexel","V",78,69,9,-1.4,33.98667826
2017,11,11,"Bradley","IUPUI","H",68,53,15,4.8,36.52582724
2017,11,10,"Bryant","Georgia","V",54,79,-25,-25,13.34193866
2017,11,10,"Bucknell","Monmouth","V",78,79,-1,-3.1,57.42578234
2017,11,11,"Buffalo","Canisius","H",80,75,5,8.4,31.88080123
2017,11,10,"Butler","Kennesaw St.","H",82,64,18,28.2,14.10040478
2017,11,10,"Cal Poly","Stanford","V",62,78,-16,-18.4,16.84820109
2017,11,10,"Cal St. Fullerton","Southern California","V",42,84,-42,-23.7,15.55439187
2017,11,10,"California","UC Riverside","H",66,74,-8,19.7,16.63265542
2017,11,10,"Campbell","Penn St.","V",75,86,-11,-19.1,15.28112522
2017,11,11,"Canisius","Buffalo","V",75,80,-5,-8.3,31.88080123
2017,11,10,"Central Ark.","Baylor","V",66,107,-41,-35.2,8.486064272
2017,11,10,"Central Conn. St.","Hartford","V",84,85,-1,-3.6,17.01124442
2017,11,10,"Charleston So.","Davidson","V",62,110,-48,-24.7,9.953932326
2017,11,10,"Chattanooga","Wyoming","V",65,74,-9,-8.6,31.66259194
2017,11,10,"Chicago St.","Iowa","V",62,95,-33,-32.1,5.295193417
2017,11,10,"Cincinnati","Savannah St.","H",107,77,30,37.8,7.107735312
2017,11,10,"Clemson","Western Caro.","H",85,57,28,33.6,6.147612998
2017,11,11,"Cleveland St.","Akron","V",57,67,-10,-12.5,23.89624427
2017,11,10,"Col. of Charleston","Siena","H",68,60,8,9.2,30.25812038
2017,11,10,"Colgate","UConn","V",58,70,-12,-18,17.61445905
2017,11,10,"Colorado","Northern Colo.","H",66,51,15,22.3,15.01276625
2017,11,10,"Colorado St.","Sacramento St.","H",72,61,11,17.9,15.92733506
2017,11,10,"Columbia","Villanova","V",60,75,-15,-30.4,15.82980337
2017,11,10,"Coppin St.","Oregon","V",54,70,-16,-43.9,4.14377448
2017,11,10,"Cornell","Syracuse","V",45,77,-32,-26.4,14.10435075
2017,11,10,"Creighton","Yale","H",92,76,16,19.9,24.27899303
2017,11,11,"Dartmouth","Quinnipiac","V",77,78,-1,-1.9,28.30305183
2017,11,10,"Davidson","Charleston So.","H",110,62,48,24.7,9.953932326
2017,11,10,"Dayton","Ball St.","H",78,77,1,12.4,31.52770795
2017,11,11,"DePaul","Notre Dame","H",58,72,-14,-11.1,28.01835389
2017,11,10,"Delaware","Richmond","V",76,63,13,-11,23.21780266
2017,11,10,"Detroit Mercy","Virginia Tech","V",79,111,-32,-25.9,13.7742489
2017,11,10,"Drexel","Bowling Green","H",69,78,-9,1.4,33.98667826
2017,11,10,"Duke","Elon","H",97,68,29,27.1,18.98030643
2017,11,11,"Duke","Utah Valley","H",99,69,30,26.6,19.52238367
2017,11,11,"Duquesne","St. Francis Brooklyn","H",80,70,10,15.9,8.157515773
2017,11,10,"ETSU","Northern Ky.","V",63,81,-18,0.2,42.93786792
2017,11,11,"Eastern Ill.","Nebraska","V",68,72,-4,-13,24.91886688
2017,11,10,"Eastern Ky.","Rice","V",73,72,1,-7.2,30.31593712
2017,11,10,"Elon","Duke","V",68,97,-29,-27,18.98030643
2017,11,10,"Evansville","Arkansas St.","H",77,63,14,3.7,48.49862867
2017,11,11,"FGCU","Illinois St.","H",98,87,11,-2.6,44.48604744
2017,11,11,"Fairfield","Penn","H",80,72,8,-0.6,33.93654651
2017,11,10,"Fairleigh Dickinson","Seton Hall","V",68,90,-22,-24.8,13.99092893
2017,11,10,"Fla. Atlantic","South Fla.","V",59,60,-1,-3.4,33.11263183
2017,11,10,"Florida A&M","Grand Canyon","V",51,67,-16,-24.2,3.718458608
2017,11,11,"Florida A&M","UNLV","V",66,108,-42,-24.7,3.672699909
2017,11,10,"Fordham","Miami (OH)","H",54,55,-1,6.4,27.67607658
2017,11,10,"Fort Wayne","Oakland","V",71,85,-14,-9.2,33.30530733
2017,11,10,"Ga. Southern","Wake Forest","V",85,83,2,-17,25.12386098
2017,11,10,"Gardner-Webb","Miami (FL)","V",45,77,-32,-24.3,17.0898068
2017,11,10,"George Mason","Lafayette","H",67,65,2,17.5,12.61681092
2017,11,10,"George Washington","Howard","H",84,75,9,16.8,12.78490418
2017,11,10,"Georgia","Bryant","H",79,54,25,25,13.34193866
2017,11,10,"Georgia Tech","UCLA","N",60,63,-3,-13,33.90536178
2017,11,10,"Gonzaga","Texas Southern","H",97,69,28,32.8,14.13711175
2017,11,10,"Grambling","VCU","V",65,94,-29,-31.4,7.427678113
2017,11,10,"Grand Canyon","Florida A&M","H",67,51,16,24.2,3.718458608
2017,11,10,"Hampton","Rider","V",75,90,-15,-10.9,17.13452616
2017,11,10,"Hartford","Central Conn. St.","H",85,84,1,3.6,17.01124442
2017,11,10,"Hawaii","Ark.-Pine Bluff","H",82,70,12,18.6,5.20390064
2017,11,10,"High Point","William & Mary","H",100,66,34,-1.1,30.05450237
2017,11,10,"Hofstra","Army West Point","H",77,74,3,6.6,29.81931002
2017,11,10,"Holy Cross","Sacred Heart","V",69,64,5,3,21.0539583
2017,11,10,"Houston","McNeese","H",81,53,28,30.5,8.700091292
2017,11,10,"Houston Baptist","Providence","V",55,84,-29,-22.3,15.93340526
2017,11,10,"Howard","George Washington","V",75,84,-9,-16.7,12.78490418
2017,11,11,"IUPUI","Bradley","V",53,68,-15,-4.8,36.52582724
2017,11,10,"Idaho","Nevada","V",64,88,-24,-22.4,17.58424926
2017,11,10,"Idaho St.","Arizona St.","V",74,94,-20,-22.5,10.35371665
2017,11,10,"Ill.-Chicago","N.C. Central","H",65,55,10,-0.3,31.7530425
2017,11,10,"Illinois","Southern U.","H",102,55,47,29.5,8.808412594
2017,11,11,"Illinois St.","FGCU","V",87,98,-11,2.5,44.48604744
2017,11,10,"Indiana","Indiana St.","H",69,90,-21,12.2,32.42379658
2017,11,10,"Indiana St.","Indiana","V",90,69,21,-12.1,32.42379658
2017,11,10,"Iona","Albany (NY)","V",67,69,-2,-0.4,43.43689021
2017,11,10,"Iowa","Chicago St.","H",95,62,33,32,5.295193417
2017,11,10,"Iowa St.","Missouri","V",59,74,-15,6.1,39.77818595
2017,11,10,"Jacksonville","UAB","V",67,96,-29,-14.4,19.18851112
2017,11,10,"Kansas","Tennessee St.","H",92,56,36,28.9,18.35664083
2017,11,10,"Kansas St.","American","H",83,45,38,28.4,11.55456423
